Imagen Hilos Kernel Tiempo
0.388022864 1.808400789 0.173641179 0.177145921 0.172673071 
1.063902745 1.530741432 0.425565750 0.423061974 1.582370683 
1.837958819 0.920905260 0.825722387 0.823522059 1.181147169 
3.029419832 2.510187898 1.371750845 1.335831277 1.332485359 
5.622414280 2.192785668 2.022627899 2.031740685 2.055637686 
6.085918185 3.040850013 2.742446385 2.732068313 3.307265625 
8.005670479 4.025800871 4.367757709 4.373211991 3.590679962 
0.860939749 0.432307412 1.606192383 0.392423744 1.613674654 
2.105817603 1.058510420 1.042674201 1.026492676 1.059437565 
5.716587959 2.075480967 2.108541416 2.146541883 2.168100790 
7.308684467 3.405696513 3.014926856 3.011579097 3.039556932 
9.863377578 5.043855909 4.460593112 5.563364615 4.414094995 
14.300999255 7.136919017 6.177708286 7.826454094 6.080757034 
18.384909219 10.926457878 8.212698642 8.151791412 8.121331371 
3.764785313 2.163991871 2.326305912 1.680495343 1.660371901 
9.025515543 5.338819587 4.101967649 4.092556286 4.072357514 
18.254207567 9.104629777 8.042183864 8.014948563 8.017754700 
30.653749847 15.291150003 13.181649501 13.029223320 13.006683700 
43.290986283 22.303509191 20.619545506 19.245970752 19.190432056 
60.031062699 30.093777516 26.670011825 26.666507493 26.656004653 
79.511699108 40.166244904 36.486669284 36.026902185 35.718571185 
Imagen Hilos Kernel Tiempo
1.616820937 0.192734350 0.173414572 1.824092367 0.177504137 
1.063976855 1.530905943 0.433815389 1.570338272 0.420960724 
2.154958527 1.076598243 1.174892981 1.176314957 1.184736822 
3.036617123 2.514894736 1.339703552 1.332200894 2.684668256 
4.450580758 3.805031829 2.006049042 2.022337858 2.032000008 
6.060894708 3.041256946 3.228590770 3.180907592 3.305493968 
8.019676432 4.029433935 4.367038899 4.347526158 3.588287766 
1.118345218 1.567734610 0.391740852 1.601438916 0.390530976 
3.804251116 1.068514217 1.043185996 1.027200877 1.057342536 
4.141988829 2.079530479 2.141273645 2.133240168 2.169140748 
6.765795982 3.357040896 3.028888870 3.003521272 3.026966862 
10.157543928 5.059417386 5.535147302 4.448503112 4.367175602 
14.312424974 7.134531685 6.177741992 6.158172773 7.945271706 
18.135523965 9.083420868 8.169612824 9.822650570 8.066556550 
4.319566547 2.160098861 2.323763975 2.331507305 2.333180038 
9.043628252 5.379879055 4.124204837 4.102765290 4.130443788 
18.246582509 9.100481603 8.023295058 8.030734519 8.054049858 
30.675514682 15.305197459 13.043400120 13.020009414 13.014615883 
43.345786146 22.281829473 20.591453210 19.218241075 19.172185699 
60.009291678 31.534011175 27.253572216 27.150339634 26.578508809 
80.487102408 41.702809880 35.398350736 35.771192548 35.344091973 
Imagen Hilos Kernel Tiempo
1.618723283 0.191184336 0.173768472 0.180553442 0.172537477 
1.043191830 1.530383117 0.425483274 1.571806652 0.422226361 
2.164670339 1.078030401 1.155182372 1.159554051 1.180483041 
3.033870671 2.511146101 1.359180450 2.668377652 1.317793042 
5.529775176 2.227477810 2.024947805 2.006176628 2.039875811 
6.061246631 3.087448134 2.743980893 3.269190343 3.303948127 
8.018072667 4.051331901 4.364631657 4.388785865 3.618554480 
0.859616735 0.432927605 0.393070391 0.399049245 0.383859979 
2.108453683 1.058631858 1.035785632 1.041008733 1.059675069 
4.138916820 2.077877444 2.140850186 2.147411902 2.167683964 
6.681725073 4.641050344 3.031675810 3.000258342 3.020163304 
10.037021232 5.046214124 5.555896997 5.544935127 4.359070418 
14.010889933 7.145716032 6.194934683 6.162995295 6.058282270 
18.045831792 9.096469585 9.779661320 8.144261452 8.026390731 
4.316898808 2.161004066 2.321840594 2.329404637 2.337013782 
9.036216681 4.566320806 5.883195628 4.085138348 4.085523970 
17.783214287 9.000595004 8.015540889 8.016783010 8.058860077 
29.351311428 15.312593127 13.072733141 13.046604907 13.009675856 
45.359931363 22.301955359 19.253645728 19.231189348 20.517219442 
60.058347101 30.071904458 26.729059979 26.692931190 26.591923406 
80.412113933 40.220530753 36.031291341 36.330410769 36.611521490 
