Imagen Hilos Kernel Tiempo
1.618124560 0.226229014 0.173338381 1.821254244 0.174028484 
1.060575576 0.498273896 0.425924347 1.570047315 0.430539872 
2.157109249 1.069365150 1.167596609 1.155502835 1.164265125 
3.024737978 2.486181237 1.349964971 1.352939831 1.351118174 
4.392260013 3.793424528 2.014406462 2.011938242 2.013767633 
6.080313767 3.056506279 3.240887744 3.241273311 3.240988114 
8.052442906 4.039012167 4.351632214 4.354224780 3.643053023 
0.860919024 0.440697992 1.606941918 0.403647047 1.607872242 
2.120283723 1.083587295 1.041141182 1.040579013 1.043688915 
5.852656811 2.088981491 2.123550232 2.121793600 2.141364278 
7.294185107 3.383221840 3.028649914 3.026604295 3.003404337 
9.896287581 5.031809995 4.495812012 5.484940637 4.473801409 
13.712196446 7.107691667 7.806266813 6.198884561 6.196579527 
18.142710842 9.162273996 8.204869216 8.224138200 8.150586039 
4.335337669 2.138851198 2.308982543 2.330283258 2.317945865 
9.049623066 5.465699380 4.101141151 5.896982375 4.105727127 
18.204320117 9.067184715 8.016909720 8.009916983 8.007729486 
30.635458268 15.279586898 13.091059438 13.095504843 13.115099486 
44.609330828 22.236881198 20.162513223 19.384661536 19.689272281 
60.154030852 30.147910565 27.189898846 26.791837645 26.811669250 
79.650359790 40.086491428 35.588807871 37.189914219 36.173498657 
Imagen Hilos Kernel Tiempo
0.382132716 1.778214648 0.174172126 0.180503132 0.173962033 
0.939901569 0.497693430 1.574507357 0.427444702 1.570739524 
2.156625866 1.071133347 1.169798127 1.165072882 0.834166936 
3.023900319 1.507888659 2.650880957 1.358353015 2.649459064 
4.391929250 2.223286994 2.010307031 2.001283780 2.006779670 
6.083404562 3.056903598 3.235194153 3.221221057 3.246760564 
8.063416658 4.059088531 4.287272839 3.680939742 3.647226770 
1.139723470 1.547413451 0.391407617 1.600404229 0.391758910 
3.883394882 1.067325313 1.032100107 1.036370099 1.042481010 
4.149681264 3.897994685 2.127050894 2.121763318 2.140074817 
6.709481592 4.623752959 3.026027977 3.037675036 3.002081837 
10.101985166 5.033932722 5.532154221 5.533641333 4.432597032 
14.291437466 7.095250944 6.215361609 7.799714900 6.148117593 
18.134778133 9.092513109 9.786669282 8.231807592 8.158594734 
3.662525656 1.849448615 1.668508973 1.670189919 1.677100464 
9.041849422 4.544783275 4.116584172 4.141358909 5.895777696 
18.205391578 9.085517371 8.021858548 8.040666628 8.050752873 
29.354524609 14.730330821 13.128396300 13.106878450 13.091485934 
43.398557120 21.749187430 19.689970280 19.556894089 20.370683455 
60.182943300 30.157749804 27.167592494 27.183141043 27.191807564 
80.331962170 40.073876832 36.499537572 37.780184896 35.547573545 
Imagen Hilos Kernel Tiempo
0.381977097 0.222333738 1.825420436 0.176556239 0.175099512 
1.060204134 1.521820222 0.436411146 1.565747921 0.428831832 
1.842315969 1.051449382 0.829874809 1.159748980 1.167264094 
3.023589896 2.500603188 1.344034736 2.646153043 1.344205385 
5.608660655 2.224880862 2.032876919 2.058467903 2.002317394 
6.085031914 3.065930151 3.250719142 3.247705799 2.778280751 
8.056225573 4.053945286 4.348171183 3.665926870 4.346729360 
1.139521240 1.561876744 0.392346942 1.606409324 0.394056561 
2.127509925 2.934222940 1.042375205 1.031557459 1.040581634 
4.155345645 2.113781177 2.116776525 2.101668872 2.137488168 
7.302727897 4.616637642 3.037278568 3.026851429 3.010730188 
10.108020214 5.030166301 5.510250946 4.516882528 4.431011019 
14.291625528 7.114678438 6.210221494 7.799598700 6.148118935 
18.142578406 9.111279789 9.754912917 8.224732013 8.159955791 
4.330063831 2.157140598 1.692526627 1.667547030 2.331465760 
9.041914594 4.540780805 4.108851818 4.102479043 4.101374560 
18.208253362 9.049768704 9.570316644 8.014363518 8.032076809 
30.644743759 15.249416033 13.195340020 13.101658881 13.258078772 
43.399532325 22.228056546 20.522163881 19.384209301 19.347805985 
60.162229023 30.147297882 27.192002067 27.163867940 27.178807474 
80.355185437 40.093769577 35.572077198 37.637813679 36.147296150 
